1683722545.801202 client started (300290): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1683722545.801261 on Linux 6.2.0-76060200-generic #202302191831~1677858327~22.04~3cea1be SMP PREEMPT_DYNAMIC Fri M
1683722545.801276 using libevent 2.1.12-stable (poll); ncurses 6.3
1683722545.801383 flags are 0x18010000
1683722545.801403 socket is /tmp/tmux-1000/default
1683722545.801431 trying connect
1683722545.801462 connect failed: Connection refused
1683722545.801486 lock file is /tmp/tmux-1000/default.lock
1683722545.801552 flock succeeded
1683722545.801565 got lock (6)
1683722545.801584 trying connect
1683722545.801606 connect failed: Connection refused
1683722545.802141 add peer 0x556a52d9eed0: 7 ((nil))
1683722545.802976 sending message 100 to peer 0x556a52d9eed0 (4 bytes)
1683722545.802992 sending message 111 to peer 0x556a52d9eed0 (8 bytes)
1683722545.803000 sending message 101 to peer 0x556a52d9eed0 (15 bytes)
1683722545.803006 sending message 109 to peer 0x556a52d9eed0 (4 bytes)
1683722545.803013 sending message 102 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803023 sending message 108 to peer 0x556a52d9eed0 (30 bytes)
1683722545.803031 sending message 112 to peer 0x556a52d9eed0 (58 bytes)
1683722545.803038 sending message 112 to peer 0x556a52d9eed0 (5 bytes)
1683722545.803045 sending message 112 to peer 0x556a52d9eed0 (5 bytes)
1683722545.803051 sending message 112 to peer 0x556a52d9eed0 (6 bytes)
1683722545.803058 sending message 112 to peer 0x556a52d9eed0 (6 bytes)
1683722545.803064 sending message 112 to peer 0x556a52d9eed0 (11 bytes)
1683722545.803071 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.803077 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803084 sending message 112 to peer 0x556a52d9eed0 (14 bytes)
1683722545.803090 sending message 112 to peer 0x556a52d9eed0 (19 bytes)
1683722545.803097 sending message 112 to peer 0x556a52d9eed0 (11 bytes)
1683722545.803103 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.803110 sending message 112 to peer 0x556a52d9eed0 (15 bytes)
1683722545.803116 sending message 112 to peer 0x556a52d9eed0 (21 bytes)
1683722545.803122 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803134 sending message 112 to peer 0x556a52d9eed0 (7 bytes)
1683722545.803149 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803161 sending message 112 to peer 0x556a52d9eed0 (7 bytes)
1683722545.803169 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803176 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.803183 sending message 112 to peer 0x556a52d9eed0 (21 bytes)
1683722545.803195 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803209 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.803223 sending message 112 to peer 0x556a52d9eed0 (16 bytes)
1683722545.803249 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803260 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.803270 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.803280 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803291 sending message 112 to peer 0x556a52d9eed0 (8 bytes)
1683722545.803305 sending message 112 to peer 0x556a52d9eed0 (8 bytes)
1683722545.803319 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803332 sending message 112 to peer 0x556a52d9eed0 (7 bytes)
1683722545.803346 sending message 112 to peer 0x556a52d9eed0 (7 bytes)
1683722545.803360 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.803373 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.803386 sending message 112 to peer 0x556a52d9eed0 (15 bytes)
1683722545.803400 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803414 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803428 sending message 112 to peer 0x556a52d9eed0 (8 bytes)
1683722545.803439 sending message 112 to peer 0x556a52d9eed0 (14 bytes)
1683722545.803449 sending message 112 to peer 0x556a52d9eed0 (11 bytes)
1683722545.803459 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.803480 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.803491 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.803501 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.803511 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.803521 sending message 112 to peer 0x556a52d9eed0 (11 bytes)
1683722545.803531 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
